"year","departamento","codigo","diagnostico","total","Mujer1","Hombre1","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre"
"2012","ALTA VERAPAZ","J:00","Rinofaringitis aguda [resfriado común]"," 55,880   "," 230   "," 220   "," 604   "," 537   "," 6,104   "," 5,634   "," 11,784   "," 11,151   "," 3,613   "," 3,332   "," 1,422   "," 1,057   "," 1,367   "," 414   "," 1,620   "," 390   "," 1,264   "," 343   "," 801   "," 209   "," 1,057   .1"," 210   "," 410   "," 146   "," 444   "," 112   "," 215   "," 111   "," 242   "," 83   "," 185   "," 83   .1"," 114   "," 61   "," 212   "," 99   "
2012,"ALTA VERAPAZ","A:09","Diarrea y gastroenteritis de presunto origen infeccioso"," 35,396   "," 52   "," 46   "," 139   "," 133   "," 4,121   "," 4,391   "," 8,446   "," 8,686   "," 1,216   "," 1,285   "," 556   "," 505   "," 619   "," 284   "," 713   "," 311   "," 609   "," 274   "," 472   "," 214   "," 427   "," 169   "," 256   "," 129   "," 224   "," 107   "," 198   "," 100   "," 152   "," 80   "," 118   "," 69   "," 67   "," 45   "," 118   "," 65   "
2012,"ALTA VERAPAZ","K:29","Gastritis y duodenitis"," 31,764   "," 6   "," 5   "," 3   "," 3   "," 26   "," 27   "," 114   "," 102   "," 269   "," 164   "," 818   "," 321   "," 3,090   "," 501   "," 4,363   "," 654   "," 4,028   "," 785   "," 3,132   "," 607   "," 3,646   "," 598   "," 1,809   "," 473   "," 1,858   "," 350   "," 971   "," 282   "," 740   "," 205   "," 478   "," 179   "," 257   "," 128   "," 490   "," 282   "
2012,"ALTA VERAPAZ","J:22","Infección aguda no especificada de las vías respiratorias inferiores"," 28,994   "," 94   "," 95   "," 192   "," 208   "," 2,685   "," 2,747   "," 5,140   "," 5,098   "," 1,811   "," 1,756   "," 828   "," 649   "," 890   "," 359   "," 1,047   "," 339   "," 908   "," 330   "," 692   "," 241   "," 653   "," 165   "," 355   "," 148   "," 341   "," 107   "," 216   "," 96   "," 192   "," 75   "," 128   "," 51   "," 84   "," 47   "," 136   "," 91   "
2012,"ALTA VERAPAZ","B:82","Parasitosis intestinales, sin otra especificación"," 27,436   "," 5   "," 6   "," 5   "," 6   "," 347   "," 308   "," 4,848   "," 4,448   "," 4,521   "," 4,096   "," 2,057   "," 1,815   "," 787   "," 300   "," 711   "," 191   "," 598   "," 163   "," 441   "," 134   "," 473   "," 100   "," 224   "," 64   "," 181   "," 49   "," 138   "," 31   "," 98   "," 28   "," 68   "," 31   "," 26   "," 32   "," 65   "," 41   "
2012,"ALTA VERAPAZ","N:39","Otros trastornos del sistema urinario"," 23,839   "," 17   "," 9   "," 21   "," 10   "," 211   "," 148   "," 937   "," 539   "," 772   "," 455   "," 765   "," 318   "," 2,443   "," 329   "," 3,620   "," 404   "," 2,933   "," 407   "," 2,293   "," 348   "," 2,159   "," 256   "," 1,117   "," 186   "," 917   "," 153   "," 514   "," 135   "," 351   "," 118   "," 254   "," 96   "," 109   "," 68   "," 230   "," 197   "
2012,"ALTA VERAPAZ","J:18","Neumonía, organismo no especificado"," 19,399   "," 47   "," 60   "," 163   "," 188   "," 2,775   "," 3,115   "," 4,664   "," 4,819   "," 622   "," 650   "," 209   "," 164   "," 139   "," 66   "," 164   "," 56   "," 152   "," 50   "," 139   "," 39   "," 106   "," 36   "," 95   "," 33   "," 92   "," 36   "," 114   "," 28   "," 96   "," 31   "," 85   "," 29   "," 69   "," 38   "," 147   "," 83   "
2012,"ALTA VERAPAZ","J:03","Amigdalitis aguda"," 17,678   "," 9   "," 7   "," 24   "," 27   "," 679   "," 697   "," 2,242   "," 2,161   "," 1,346   "," 1,194   "," 807   "," 638   "," 865   "," 410   "," 1,045   "," 384   "," 899   "," 355   "," 786   "," 255   "," 695   "," 216   "," 387   "," 167   "," 312   "," 117   "," 215   "," 90   "," 171   "," 54   "," 116   "," 55   "," 52   "," 33   "," 104   "," 64   "
2012,"ALTA VERAPAZ","A:06","Amebiasis"," 14,586   "," 5   "," 6   "," 15   "," 13   "," 552   "," 497   "," 2,582   "," 2,471   "," 1,307   "," 1,084   "," 655   "," 438   "," 621   "," 170   "," 735   "," 181   "," 603   "," 147   "," 513   "," 97   "," 496   "," 105   "," 213   "," 69   "," 239   "," 44   "," 138   "," 47   "," 135   "," 53   "," 89   "," 42   "," 45   "," 32   "," 82   "," 65   "
2012,"ALTA VERAPAZ","T:14","Traumatismo de regiones no especificadas del cuerpo"," 14,165   "," 8   "," 3   "," 1   "," 8   "," 40   "," 61   "," 439   "," 737   "," 558   "," 1,088   "," 501   "," 1,231   "," 505   "," 1,278   "," 484   "," 1,170   "," 488   "," 967   "," 395   "," 734   "," 299   "," 577   "," 194   "," 356   "," 195   "," 305   "," 183   "," 279   "," 133   "," 179   "," 123   "," 145   "," 74   "," 108   "," 140   "," 179   "
2012,"ALTA VERAPAZ","M:54","Dorsalgia"," 13,665   "," -     "," -     "," 1   "," -     "," 5   "," 2   "," 21   "," 11   "," 26   "," 33   "," 268   "," 102   "," 753   "," 197   "," 1,443   "," 329   "," 1,511   "," 350   "," 1,207   "," 290   "," 1,619   "," 327   "," 958   "," 279   "," 963   "," 233   "," 516   "," 229   "," 544   "," 226   "," 310   "," 164   "," 163   "," 120   "," 234   "," 231   "
2012,"ALTA VERAPAZ","D:64","Otras anemias"," 13,069   "," -     "," -     "," 4   "," 2   "," 72   "," 55   "," 406   "," 312   "," 789   "," 451   "," 836   "," 332   "," 1,262   "," 159   "," 1,553   "," 113   "," 1,274   "," 103   "," 960   "," 96   "," 994   "," 105   "," 548   "," 81   "," 597   "," 73   "," 321   "," 81   "," 377   "," 70   "," 251   "," 72   "," 154   "," 77   "," 323   "," 166   "
2012,"ALTA VERAPAZ","L:01","Impétigo"," 8,930   "," 11   "," 9   "," 46   "," 37   "," 776   "," 680   "," 2,085   "," 2,126   "," 747   "," 746   "," 253   "," 248   "," 145   "," 114   "," 137   "," 102   "," 123   "," 57   "," 70   "," 49   "," 97   "," 34   "," 46   "," 26   "," 26   "," 17   "," 19   "," 20   "," 24   "," 9   "," 9   "," 3   "," 2   "," 6   "," 14   "," 17   "
